province,district,commune,ethny,sex,age,n
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[0, 1)",163
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[1, 2)",144
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[2, 3)",138
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[3, 4)",146
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[4, 5)",154
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[5, 6)",165
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[6, 7)",120
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[7, 8)",111
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[8, 9)",93
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[9, 10)",133
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[10, 11)",116
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[11, 12)",115
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[12, 13)",117
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[13, 14)",96
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[14, 15)",109
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[15, 16)",95
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[16, 17)",87
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[17, 18)",110
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[18, 19)",70
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[19, 20)",93
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[20, 21)",105
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[21, 22)",96
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[22, 23)",103
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[23, 24)",105
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[24, 25)",118
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[25, 26)",117
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[26, 27)",117
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[27, 28)",123
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[28, 29)",93
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[29, 30)",140
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[30, 31)",144
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[31, 32)",121
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[32, 33)",138
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[33, 34)",134
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[34, 35)",129
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[35, 36)",133
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[36, 37)",68
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[37, 38)",112
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[38, 39)",99
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[39, 40)",74
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[40, 41)",120
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[41, 42)",64
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[42, 43)",86
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[43, 44)",88
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[44, 45)",76
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[45, 46)",80
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[46, 47)",78
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[47, 48)",88
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[48, 49)",91
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[49, 50)",61
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[50, 51)",77
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[51, 52)",75
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[52, 53)",82
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[53, 54)",70
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[54, 55)",97
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[55, 56)",65
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[56, 57)",49
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[57, 58)",76
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[58, 59)",41
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[59, 60)",69
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[60, 61)",66
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[61, 62)",37
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[62, 63)",44
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[63, 64)",55
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[64, 65)",33
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[65, 66)",35
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[66, 67)",20
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[67, 68)",40
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[68, 69)",21
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[69, 70)",24
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[70, 71)",26
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[71, 72)",14
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[72, 73)",16
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[73, 74)",9
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[74, 75)",12
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[75, 76)",14
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[76, 77)",9
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[77, 78)",24
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[78, 79)",9
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[79, 80)",15
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,male,"[80, Inf)",83
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[0, 1)",126
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[1, 2)",106
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[2, 3)",106
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[3, 4)",104
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[4, 5)",113
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[5, 6)",121
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[6, 7)",121
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[7, 8)",74
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[8, 9)",107
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[9, 10)",81
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[10, 11)",107
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[11, 12)",91
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[12, 13)",102
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[13, 14)",84
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[14, 15)",98
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[15, 16)",80
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[16, 17)",89
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[17, 18)",98
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[18, 19)",100
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[19, 20)",106
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[20, 21)",119
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[21, 22)",104
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[22, 23)",108
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[23, 24)",105
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[24, 25)",125
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[25, 26)",105
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[26, 27)",118
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[27, 28)",165
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[28, 29)",109
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[29, 30)",125
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[30, 31)",120
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[31, 32)",137
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[32, 33)",143
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[33, 34)",105
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[34, 35)",125
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[35, 36)",118
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[36, 37)",83
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[37, 38)",83
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[38, 39)",91
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[39, 40)",84
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[40, 41)",98
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[41, 42)",89
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[42, 43)",92
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[43, 44)",89
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[44, 45)",91
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[45, 46)",74
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[46, 47)",78
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[47, 48)",70
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[48, 49)",97
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[49, 50)",75
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[50, 51)",97
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[51, 52)",85
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[52, 53)",79
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[53, 54)",86
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[54, 55)",83
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[55, 56)",76
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[56, 57)",72
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[57, 58)",87
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[58, 59)",70
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[59, 60)",83
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[60, 61)",77
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[61, 62)",53
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[62, 63)",60
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[63, 64)",64
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[64, 65)",27
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[65, 66)",39
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[66, 67)",24
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[67, 68)",44
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[68, 69)",27
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[69, 70)",32
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[70, 71)",40
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[71, 72)",16
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[72, 73)",21
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[73, 74)",26
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[74, 75)",13
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[75, 76)",25
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[76, 77)",22
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[77, 78)",29
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[78, 79)",18
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[79, 80)",32
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Kinh,female,"[80, Inf)",185
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[0, 1)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[1, 2)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[2, 3)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[3, 4)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[4, 5)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[5, 6)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[6, 7)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[7, 8)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[8, 9)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[9, 10)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[10, 11)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[11, 12)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[12, 13)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[13, 14)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[14, 15)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[15, 16)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[16, 17)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[17, 18)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[18, 19)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[19, 20)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[20, 21)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[21, 22)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[22, 23)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[23, 24)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[24, 25)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[25, 26)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[26, 27)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[27, 28)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[28, 29)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[29, 30)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[30, 31)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[31, 32)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[32, 33)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[33, 34)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[34, 35)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[35, 36)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[36, 37)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[37, 38)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[38, 39)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[39, 40)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[40, 41)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[41, 42)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[42, 43)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[43, 44)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[44, 45)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[45, 46)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[46, 47)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[47, 48)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[48, 49)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[49, 50)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[50, 51)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[51, 52)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[52, 53)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[53, 54)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[54, 55)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[55, 56)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[56, 57)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[57, 58)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[58, 59)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[59, 60)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[60, 61)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[61, 62)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[62, 63)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[63, 64)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[64, 65)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[65, 66)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[66, 67)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[67, 68)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[68, 69)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[69, 70)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[70, 71)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[71, 72)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[72, 73)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[73, 74)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[74, 75)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[75, 76)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[76, 77)",1
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[77, 78)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[78, 79)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[79, 80)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,male,"[80, Inf)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[0, 1)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[1, 2)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[2, 3)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[3, 4)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[4, 5)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[5, 6)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[6, 7)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[7, 8)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[8, 9)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[9, 10)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[10, 11)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[11, 12)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[12, 13)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[13, 14)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[14, 15)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[15, 16)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[16, 17)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[17, 18)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[18, 19)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[19, 20)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[20, 21)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[21, 22)",1
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[22, 23)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[23, 24)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[24, 25)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[25, 26)",1
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[26, 27)",2
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[27, 28)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[28, 29)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[29, 30)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[30, 31)",1
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[31, 32)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[32, 33)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[33, 34)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[34, 35)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[35, 36)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[36, 37)",0
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Tày,female,"[37, 38)",0
